作品作者,作者粉丝数量,作品标题,点赞量,评论量,收藏量,分享量,作品时长,作品网址,发布时间,是否购物车,封面网址
难晴雨,909624,用化学的方式打开奈丝公主#奈丝公主 #卫生巾 #化学 #化学实验,3369945,40486,272635,754219,1分9秒,https://www.douyin.com/video/7571020897746764648,2025-11-10 18:42:11,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c001/ooaRvAAZ2EIRNBjdY8irriAAIPqhAZbQG94OA?lk3s=138a59ce&x-expires=1776733200&x-signature=Gh%2FqqLlT%2FfmvjIlzV1dxLsUGsZ0%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407092123303399BDB1F16CBE6236
李普不离谱,7147236,大姑是在护着我吗 #一人分饰多角#除秽迎新马上威王#大牌狂欢派对#马一下清单#威王洁厕泡泡,938470,7748,99771,19168,3分25秒,https://www.douyin.com/video/7602177009954966820,2026-02-02 17:37:09,无,https://p9-pc-sign.douyinpic.com/obj/tos-cn-i-dy/accf4cb30fe643a886844540a52dd4c7?lk3s=138a59ce&x-expires=1776733200&x-signature=W3dKbgTOmCL3xcmRHt5kNIQAk3M%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604070921234EC18A0FA01F0AC8381E
杨大牛,3415893,潇洒男士之间的乒乓博弈@即山川官方旗舰店 #杨大牛#即山川,1001320,12733,23171,171052,1分59秒,https://www.douyin.com/video/7582115553134136613,2025-12-10 16:30:52,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c000-ce/okq9gOEB8AgHpynfANX6KEwIDfAzFEATmCApRQ?lk3s=138a59ce&x-expires=1776733200&x-signature=JGNzGZKRq%2Fwkb1RFH9bQlkbYSI8%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=2026040709212343A44A478D0863D63D66
林白,820315,当别人喜欢你，而你的crush还一无所知 #暧昧 #心动 #crush #轻漫计划 #舒客酵素牙膏,932255,14285,87955,71430,2分47秒,https://www.douyin.com/video/7598070210884652531,2026-01-23 17:20:38,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c000-ce/owAZ51087SQeHQJeFeMHSkW4Am04gALQgnEAgB?lk3s=138a59ce&x-expires=1776733200&x-signature=oCpqwIHR0TpI4RwEIwB7yA86Ty4%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407092124C827CA1AB96293C8713E
丁郑美子,14559743,人真的会用一生去怀念艺考吗… #校园 #剧情 #舞蹈生 #佳洁士新锁白牙膏 #佳洁士,1218181,3053,68287,20254,2分,https://www.douyin.com/video/7593305173947308794,2026-01-10 17:00:29,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c000-ce/oUebIocjVDAar9AuANFtE9pADA2wmCdYQbf7BE?lk3s=138a59ce&x-expires=1776733200&x-signature=haUIhYyS0eRwF%2Bi0TPjwbBsqpu4%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407092124DFF781BF1E5EAED1A58E
陈宇星,4585585,原来幸福对他们来说真的触手可及 #陈宇星#剧情#内容过于真实#淘淘氧棉消毒级卫生巾#淘淘氧棉,858718,6942,29908,31868,2分24秒,https://www.douyin.com/video/7572108658524410538,2025-11-15 16:30:17,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/2b056594d823436ea1865ea9ff95eb58?lk3s=138a59ce&x-expires=1776733200&x-signature=8tOA1Rl86Tavj0ViXuUJel9HRyg%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407092124303399BDB1F16CBE62A1
二阳咂,10437756,二阳第一次见老丈人是这样的… #一人分饰多角 #SKG按摩腰带 #我家过年新三样 #科技健康礼就送SKG,840150,21157,36603,29428,4分53秒,https://www.douyin.com/video/7599985810536679156,2026-01-28 17:01:06,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c001/ocEA4SfB0ESAVA79QRIABXQBWkMEf8AUf8WrtE?lk3s=138a59ce&x-expires=1776733200&x-signature=y8XawelqgQzpCXYfgD3XRuYRCqk%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604070921254EC18A0FA01F0AC838F2
纯情小吗喽,17353,别看它这么便宜就错过它！相信我！真的可以给国货品牌一个机会 #卫生巾#姨妈巾#生理期#女性安全#女生必备,802280,16893,279250,260060,37秒,https://www.douyin.com/video/7442721002779348281,2024-11-29 23:18:56,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-p-0015c000-ce/oILUsECOkAffJCRDI9E7i7tC8QTeQLDpBwkgQG?lk3s=138a59ce&x-expires=1776733200&x-signature=IRsSDxtUMkWzoAncZ%2Fx%2FL9sl2%2Bw%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=2026040709212543A44A478D0863D63DC2
郑大钱-日播版,1246109,早上起床嘴里味儿大的，选它！！！ #usmile焕白清新牙膏 #usmile香水牙膏,775993,7662,240360,46920,2分33秒,https://www.douyin.com/video/7471538119037160740,2025-02-22 11:05:53,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813/okAAAgQZEiwwwCEAVC8iHAcIPAZPIAGBPvr7x?lk3s=138a59ce&x-expires=1776733200&x-signature=G%2Fc%2FG3ej6CEku0trf9UBBXTyn8g%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407092125C827CA1AB96293C871BA
刘大炮,6689053,他们印度那边真这么洗脸？？？ #抽象 #vlog日常 #印度洗脸#清洁护肤 #白云山泥膜棒,731634,19269,59130,313714,4分59秒,https://www.douyin.com/video/7576198314162505088,2025-11-25 17:01:53,有,https://p9-pc-sign.douyinpic.com/obj/tos-cn-i-0813/oUxIHAAApBA8f7xICyFEgAD9AJA9PsAQI5fhNB?lk3s=138a59ce&x-expires=1776733200&x-signature=uqrwi6XQfrRlt5fVTOHs43LmrxY%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407092126DFF781BF1E5EAED1A630
