作品ID,作品作者,作者粉丝数量,作品标题,点赞量,评论量,收藏量,分享量,作品时长,作品网址,发布时间,是否购物车,封面网址,店铺ID,商品ID,视频总销量,视频源网址,,
7624436723607616441,黄琴,7072856,叔叔阿姨从江西来到四川，一路奔波辛苦了，今早给她们做了我们家乡的特产给她们尝尝，再带她们来村里逛逛，让村里人都知道，未来婆婆婆婆来我们家商量订婚的事啦…,132816,3493,15618,4085,3分18秒,https://www.douyin.com/video/7624436723607616441,2026-4-3 19:00,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c000-ce/oEDEAAaXiiAx05AwIeMBemJ57qcAhx0PUEnfEM?lk3s=138a59ce&x-expires=1776754800&x-signature=ggF1ZZf5qUgOkfXkfo9Xp2u%2Ff8g%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407155748A625FC2696DF10F4E768,266154627,3801261520789307592,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7624436723607616441&video_shop_id=266154627&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v1e00fgi0000d77msufog65pd7v3srog&line=0&file_id=e5430f7653794ebfbeea8e3920c4731e&sign=5e1dd3bdc57fcd04063e4e598d1ec8b5&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7622095824457784394,玥玥吖,122680,我的天啊！！、这史努比抽纸也太可爱了叭，忍不住根本不薅啊#史努比抽纸 #礼物,93072,2491,34764,52119,30秒,https://www.douyin.com/video/7622095824457784394,2026-3-28 8:24,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813/oAoH9xXSpECAAAA2HCximDfiIxBApWAwigfy8Q?lk3s=138a59ce&x-expires=1776758400&x-signature=yQzXv0AoooWZ64aj4%2FHfpazG%2BOs%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604071627051B50A3E6080203E8BF4F,175823575,3796261409915011347,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7622095824457784394&video_shop_id=175823575&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000d73hu3vog65k9ojmpa70&line=0&file_id=7394ecb0f1b744a586ac2da6ac570cf9&sign=27b151f14316077713295f3b5639ee6d&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7621822283564207387,辣笔小漆,591837,不是全身脱毛现在都这么简单了吗？直接上演毛毛消失术 #宝玑米脱毛慕斯#脱毛#体毛管理,89281,1518,55897,29179,1分,https://www.douyin.com/video/7621822283564207387,2026-3-27 14:43,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/9476f1e4eea84a978b74716c594c3a16?lk3s=138a59ce&x-expires=1776758400&x-signature=dPvKtA3jbmVaej2hfKSuZ7GEN3k%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407163803C6083DFD54DAEBEE7019,22127892,3805350986642489541,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7621822283564207387&video_shop_id=22127892&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000d732bovog65k4nd6icdg&line=0&file_id=dea46e962adf4ec99f5d4cdbe285efc9&sign=1e823af1c92799a1f156c51383a2ab05&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7621092734724978290,林白,820283,被火象小狗黏上是种什么体验？ #暧昧 #心动 #crush #星座 #舒客酵素牙膏,41229,274,3905,2996,2分3秒,https://www.douyin.com/video/7621092734724978290,2026-3-26 18:00,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c001/oY3xPFbWPBIwTAA3JmADPoEAiAciaIjdgIOD7?lk3s=138a59ce&x-expires=1776762000&x-signature=GylMDDQFSCVlXs%2BfmxkpIGedc4Y%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407172330E0985A1FA74050F0CCA6,23528642,3508481410258336929,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7621092734724978290&video_shop_id=23528642&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000d71oqo7og65giuqg4i3g&line=0&file_id=155d72fa95c84350b971deab57191b1b&sign=197497ce9d35433ab799ccf0f6a8d682&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7621013666569162030,滋源官方旗舰店,815609,@所有人 感！受！ 每张硬照都张力拉满的出片秘诀？——无他，硬帅罢了??现在所有人喊出他的名字！ #云旗滋源水光代言人 #云出彩发生光 #洗了一辈子头发你洗过头皮吗 #头皮好头发更好,41094,4570,2940,2947,29秒,https://www.douyin.com/video/7621013666569162030,2026-3-25 14:00,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/962491754aab4a769b6c0ef03826a356?lk3s=138a59ce&x-expires=1776762000&x-signature=PYTysNbZZJjKwjhMsLRQ5hU1RB4%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604071718378DDC6ECDB74B13A19BA7,,,,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000d71kf4vog65lnl5iahgg&line=0&file_id=27f4fbe3dfe84bf79d84dc2e116966a3&sign=edef13dec5ab3f1deab150e4fc08a55a&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7620294452581566975,羊肉串,1519243,看我牙白嘴香的秘诀是...#usmile色修美白牙膏,51519,109,2967,762,15秒,https://www.douyin.com/video/7620294452581566975,2026-3-23 11:54,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813/o4TAGFAMTEUEXAL7eBFIfWnAAgB6AHeDgLuGIH?lk3s=138a59ce&x-expires=1776758400&x-signature=7IErOYlbJBobYyxCWYU6zr5IpEc%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604071654485AAF814D5B2112D52FA5,399362,3704376009185952141,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7620294452581566975&video_shop_id=399362&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000d70bhpvog65kls384hgg&line=0&file_id=ff871f0f13b441058319e753083e7e7c&sign=5c59f8d2093b0a9b185f97f1a3495fd3&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7619720044121942705,叶子小姨妈??,3061071,牙黄牙黑嘴难闻的，这牙刷不对真白费！,209096,3680,44646,24677,1分47秒,https://www.douyin.com/video/7619720044121942705,2026-3-22 18:00,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-p-0015c000-ce/oYAdEDQwoaAFQEqrVT98qvfCg5DOEBYQbCwpqe?lk3s=138a59ce&x-expires=1776754800&x-signature=pVsCOSgO9TheW8facHp1xcSpc5w%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604071551475D2D99B0310CA8DB7313,1488611,3597359974411539227,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7619720044121942705&video_shop_id=1488611&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v2800fgi0000d6vasgvog65lag9qru40&line=0&file_id=137b95c1f8d143ae94f635114b79d6c5&sign=184289962542ede598584c5f10ae3b07&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7619232422550375716,周小帅的龙凤胎,3517303,老妈又让我去相亲了，还拿来了很多照片，岩怡听到后居然...#家庭日常#可麦#可麦洗发水@可麦官方旗舰店,41111,1049,6631,1173,4分19秒,https://www.douyin.com/video/7619232422550375716,2026-3-22 16:00,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/dc93c4974abb4c97a9b860e949add107?lk3s=138a59ce&x-expires=1776762000&x-signature=KuFpu8VR4BH1%2FocF%2FXSGwprtL8o%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604071723291EF510340816F724ECBD,178419270,3693667133109174380,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7619232422550375716&video_shop_id=178419270&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000d6uf2enog65m6t10kmp0&line=0&file_id=f195c8a2c8c9474ca7b76d26f974abc0&sign=0b690461c07dac052ad7414f2ba06c57&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7619285359465770916,畅子,4045550,白牙如此简单 我去不早说 #usmile色修美白牙膏,181973,406,10596,7053,21秒,https://www.douyin.com/video/7619285359465770916,2026-3-20 18:38,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813/oMaIg7vEfpAIAipqNFSpASEA9Dm6fmAD9ACOCN?lk3s=138a59ce&x-expires=1776754800&x-signature=BdCfipAJ4SEaMnMAX29wqeESyr8%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604071553012EBBBB1ED92279C15976,399362,3704376009185952141,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7619285359465770916&video_shop_id=399362&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000d6ui6pvog65nafbcn6b0&line=0&file_id=76e460c1344e44369c18368f49ef9075&sign=38871c669b486b82868fc8c893fc3690&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
7619249388330749923,小鱼儿同学,72707,天气越来越热了，别等夏天尴尬了才想起来用止汗露！ #止汗露 #止汗露推荐 #无限回购的宝藏单品 #在抖音入手的好东西 #夏天,92107,1568,45708,12982,22秒,https://www.douyin.com/video/7619249388330749923,2026-3-20 16:18,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-p-0015/oovAgiFvuQDjzhBAJyvgf6E3p9Qb9WSADevQAB?lk3s=138a59ce&x-expires=1776758400&x-signature=NDfUFRu76uMG6ElPIqjmCURd4tA%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407162706B1B1D6FF973112C2858F,215270378,3756171740686975086,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7619249388330749923&video_shop_id=215270378&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000d6ug4svog65gtv950ncg&line=0&file_id=bb14c6f36f3746fbb4e72c2946af8ed1&sign=a0ec7ed209e04b57be42bfa5fc36c3cc&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,,
